# Input: graph.txt
# Nodes: 71539    Edges: 89872
# Algoritm: Cluset-Newman-Moore
# Modularity: 0.951743
# Communities: 9204
# NId	CommunityId
7	0
1082999	0
456443	0
281660	0
442980	0
926537	0
305395	0
138180	0
115044	0
8061	0
52943	0
996398	0
207416	0
1118213	0
1134369	0
11245	0
151050	0
236123	0
161835	0
295337	0
18066	0
527183	0
19533	0
127817	0
20027	0
1276912	0
19224	0
1014531	0
25584	0
1105001	0
1499729	0
39421	0
435721	0
1241620	0
38898	0
297696	0
1154051	0
1186453	0
41006	0
1312131	0
263483	0
505011	0
758951	0
42870	0
1333282	0
46639	0
561810	0
172352	0
1148327	0
1476725	0
1362328	0
141835	0
477317	0
50468	0
429539	0
954863	0
49315	0
1455980	0
49187	0
57069	0
55418	0
1359302	0
272602	0
749980	0
316763	0
1533610	0
54626	0
1164938	0
1449720	0
69836	0
851308	0
78924	0
488792	0
81310	0
74524	0
654301	0
621019	0
256636	0
1280988	0
1346413	0
398215	0
1075039	0
1410998	0
87806	0
807846	0
342432	0
86816	0
996674	0
950013	0
424114	0
765677	0
89830	0
84548	0
381264	0
1067871	0
90819	0
1373243	0
235536	0
93588	0
450479	0
102905	0
1019501	0
1113528	0
527498	0
100628	0
1042746	0
198739	0
1083204	0
1466501	0
120131	0
907480	0
252807	0
737377	0
1501296	0
1288463	0
924298	0
114840	0
746160	0
1488246	0
1030434	0
426031	0
971269	0
388856	0
1216951	0
125753	0
224202	0
860983	0
140711	0
482977	0
1203005	0
226849	0
1167055	0
142555	0
600794	0
1248138	0
1511714	0
160668	0
461451	0
161041	0
858035	0
148258	0
737856	0
1283238	0
1428599	0
1454441	0
173269	0
1192946	0
334288	0
232692	0
198386	0
180199	0
1509764	0
176873	0
169027	0
867608	0
181345	0
211311	0
1368645	0
211576	0
208755	0
970685	0
275818	0
1304641	0
656395	0
238242	0
201203	0
415987	0
199316	0
1354433	0
593868	0
734143	0
313616	0
1230718	0
200637	0
752267	0
1194434	0
1218892	0
954327	0
1223690	0
224403	0
794606	0
678147	0
1486165	0
552715	0
256889	0
827482	0
1238951	0
1487208	0
268054	0
276347	0
952831	0
318445	0
588169	0
325943	0
602892	0
732041	0
1219267	0
1404432	0
300004	0
301604	0
551603	0
969547	0
345519	0
1422038	0
352509	0
331060	0
329098	0
523876	0
561912	0
1019181	0
383361	0
363207	0
838852	0
373493	0
371175	0
421122	0
1110504	0
833566	0
1146941	0
410184	0
415958	0
1517611	0
620699	0
1292490	0
393612	0
924425	0
400660	0
398115	0
451738	0
490398	0
949375	0
735124	0
1188779	0
1436729	0
441620	0
730304	0
440916	0
987483	0
960779	0
1429811	0
1050993	0
1490404	0
1158605	0
718405	0
1474073	0
878365	0
474971	0
472967	0
1121510	0
1006030	0
518554	0
1058976	0
690308	0
1497113	0
511729	0
1490924	0
564354	0
564948	0
560959	0
1117088	0
1160685	0
1248363	0
918273	0
573290	0
579989	0
582630	0
893478	0
892504	0
558823	0
533065	0
637004	0
650180	0
654323	0
595974	0
1204648	0
698493	0
691333	0
1398085	0
689474	0
669393	0
687750	0
673054	0
759539	0
733949	0
1272353	0
1445561	0
1335939	0
916999	0
1060137	0
832883	0
792607	0
793216	0
934505	0
1518016	0
907517	0
1396197	0
867098	0
918161	0
885214	0
1414048	0
956171	0
1326367	0
926980	0
1188304	0
962805	0
14	1
109294	1
1218743	1
355	1
928166	1
312668	1
1129042	1
1140415	1
3110	1
923807	1
1122322	1
1529569	1
1423953	1
5397	1
254523	1
1435129	1
1346048	1
5804	1
1208218	1
1455450	1
501589	1
923564	1
957142	1
1354032	1
595820	1
547550	1
1197016	1
1489944	1
289132	1
761008	1
1241612	1
782862	1
6346	1
1007650	1
7173	1
259411	1
1404945	1
993536	1
7877	1
111651	1
157352	1
684611	1
963836	1
893148	1
689322	1
847250	1
836692	1
15866	1
694629	1
309706	1
679798	1
1002316	1
1214423	1
178241	1
917370	1
337607	1
79527	1
357915	1
959313	1
1037530	1
30888	1
617224	1
480029	1
8502	1
182603	1
129775	1
407999	1
137091	1
9766	1
424118	1
10102	1
1045171	1
10192	1
392980	1
645685	1
1288165	1
9463	1
350100	1
1469772	1
550317	1
573737	1
469880	1
1008631	1
11072	1
873436	1
871537	1
11029	1
227525	1
137605	1
437681	1
43870	1
1122194	1
1346661	1
1121355	1
1504272	1
1138469	1
14093	1
882797	1
1046400	1
135943	1
1212049	1
563434	1
1048416	1
249997	1
1116129	1
1505093	1
1272510	1
13824	1
579358	1
87032	1
44619	1
437920	1
1115719	1
1401902	1
13931	1
402638	1
17684	1
1493414	1
720172	1
349396	1
17305	1
1051563	1
